Date,Close/Last,Volume,Open,High,Low
03/10/2025,$106.98,366487400,$109.90,$111.85,$105.46
03/07/2025,$112.69,341755500,$111.25,$113.48,$107.56
03/06/2025,$110.57,321181900,$113.53,$115.35,$110.22
03/05/2025,$117.30,284337900,$117.58,$118.2781,$114.51
03/04/2025,$115.99,398163300,$110.645,$119.31,$110.11
03/03/2025,$114.06,411381400,$123.51,$123.70,$112.28
02/28/2025,$124.92,389091100,$118.02,$125.09,$116.40
02/27/2025,$120.15,443175800,$135.00,$135.01,$120.01
02/26/2025,$131.28,322553800,$129.985,$133.73,$128.49
02/25/2025,$126.63,271428700,$129.98,$130.20,$124.44
02/24/2025,$130.28,251381100,$136.56,$138.59,$130.08
02/21/2025,$134.43,228217600,$140.04,$141.46,$134.03
02/20/2025,$140.11,143903600,$140.03,$140.66,$136.7901
02/19/2025,$139.23,167536000,$139.51,$141.36,$137.22
02/18/2025,$139.40,219176600,$141.27,$143.44,$137.925
02/14/2025,$138.85,195479600,$136.48,$139.25,$135.50
02/13/2025,$135.29,197430000,$131.555,$136.50,$131.17
02/12/2025,$131.14,160278600,$130.02,$132.24,$129.08
02/11/2025,$132.80,178902400,$132.58,$134.48,$131.02
02/10/2025,$133.57,216989100,$130.09,$135.00,$129.96
02/07/2025,$129.84,228186300,$129.22,$130.37,$125.00
02/06/2025,$128.68,251483600,$127.42,$128.77,$125.21
02/05/2025,$124.83,263110600,$121.76,$125.00,$120.76
02/04/2025,$118.65,256550000,$116.96,$121.20,$116.70
02/03/2025,$116.66,371235700,$114.75,$118.57,$113.01
01/31/2025,$120.07,390372900,$123.78,$127.85,$119.19
01/30/2025,$124.65,392925500,$123.10,$125.00,$118.10
01/29/2025,$123.70,467120600,$126.50,$126.89,$120.05
01/28/2025,$128.99,579666400,$121.81,$129.00,$116.25
01/27/2025,$118.42,818830900,$124.80,$128.40,$116.70
01/24/2025,$142.62,234657600,$148.37,$148.97,$141.88
01/23/2025,$147.22,155915500,$145.05,$147.23,$143.72
01/22/2025,$147.07,237651400,$144.66,$147.79,$143.67
01/21/2025,$140.83,197749000,$139.16,$141.83,$137.09
01/17/2025,$137.71,201188800,$136.69,$138.50,$135.4649
01/16/2025,$133.57,209235600,$138.64,$138.75,$133.49
01/15/2025,$136.24,185217300,$133.65,$136.45,$131.29
01/14/2025,$131.76,195590500,$136.05,$136.38,$130.05
01/13/2025,$133.23,204808900,$129.99,$133.49,$129.51
01/10/2025,$135.91,207602500,$137.45,$139.92,$134.22
01/08/2025,$140.11,227349900,$142.58,$143.95,$137.56
01/07/2025,$140.14,351782200,$153.03,$153.13,$140.01
01/06/2025,$149.43,265377400,$148.59,$152.156,$147.8201
01/03/2025,$144.47,229322500,$140.01,$144.90,$139.73
01/02/2025,$138.31,198247200,$136.00,$138.88,$134.63
12/31/2024,$134.29,155659200,$138.03,$138.07,$133.83
12/30/2024,$137.49,167734700,$134.83,$140.27,$134.02
12/27/2024,$137.01,170582600,$138.55,$139.02,$134.71
12/26/2024,$139.93,116519100,$139.70,$140.85,$137.73
12/24/2024,$140.22,105157000,$140.00,$141.90,$138.65
12/23/2024,$139.67,176053500,$136.28,$139.79,$135.1201
12/20/2024,$134.70,306528600,$129.81,$135.28,$128.22
12/19/2024,$130.68,209719200,$131.76,$134.03,$129.55
12/18/2024,$128.91,277444500,$133.86,$136.70,$128.28
12/17/2024,$130.39,259410300,$129.09,$131.59,$126.86
12/16/2024,$132.00,237951100,$134.18,$134.40,$130.42
12/13/2024,$134.25,231514900,$138.94,$139.60,$132.54
12/12/2024,$137.34,159211400,$137.08,$138.44,$135.80
12/11/2024,$139.31,184905200,$137.36,$140.17,$135.21
12/10/2024,$135.07,210020900,$139.01,$141.82,$133.79
12/09/2024,$138.81,189308600,$138.97,$139.95,$137.13
12/06/2024,$142.44,188505600,$144.60,$145.70,$141.31
12/05/2024,$145.06,172621200,$145.11,$146.54,$143.95
12/04/2024,$145.14,231224300,$141.995,$145.79,$140.29
12/03/2024,$140.26,164414000,$138.26,$140.54,$137.95
12/02/2024,$138.63,171682800,$138.83,$140.45,$137.825
11/29/2024,$138.25,141863200,$136.78,$139.35,$136.05
11/27/2024,$135.34,226370900,$135.01,$137.22,$131.80
11/26/2024,$136.92,190287700,$137.70,$139.30,$135.67
11/25/2024,$136.02,344941900,$141.99,$142.05,$135.82
11/22/2024,$141.95,236406200,$145.93,$147.16,$141.10
11/21/2024,$146.67,400946600,$149.35,$152.89,$140.70
11/20/2024,$145.89,309871700,$147.41,$147.56,$142.73
11/19/2024,$147.01,227834900,$141.32,$147.13,$140.99
11/18/2024,$140.15,221866000,$139.50,$141.55,$137.15
11/15/2024,$141.98,250132900,$144.87,$145.24,$140.08
11/14/2024,$146.76,194463300,$147.64,$149.00,$145.55
11/13/2024,$146.27,191903300,$149.07,$149.33,$145.90
11/12/2024,$148.29,198634700,$146.78,$149.65,$146.01
11/11/2024,$145.26,182325600,$148.68,$148.85,$143.57
11/08/2024,$147.63,175665800,$148.77,$149.77,$146.26
11/07/2024,$148.88,207323300,$146.39,$148.93,$146.17
11/06/2024,$145.61,242043900,$142.96,$146.49,$141.96
11/05/2024,$139.91,160537400,$137.45,$140.3701,$137.33
11/04/2024,$136.05,187528200,$137.21,$138.96,$135.57
11/01/2024,$135.40,207127800,$134.70,$137.31,$134.57
10/31/2024,$132.76,270039600,$137.60,$137.61,$132.1106
10/30/2024,$139.335,179418100,$139.54,$140.33,$136.81
10/29/2024,$141.25,157593600,$140.285,$142.2598,$138.90
10/28/2024,$140.52,173586700,$143.00,$143.14,$140.05
10/25/2024,$141.54,205122100,$140.93,$144.13,$140.80
10/24/2024,$140.41,172354900,$140.82,$141.35,$138.46
10/23/2024,$139.56,285930000,$142.03,$142.43,$137.46
10/22/2024,$143.59,226311600,$142.91,$144.42,$141.78
10/21/2024,$143.71,264554500,$138.13,$143.71,$138.00
10/18/2024,$138.00,176090200,$138.665,$138.90,$137.28
10/17/2024,$136.93,306435900,$139.34,$140.89,$136.87
10/16/2024,$135.72,264879700,$133.98,$136.62,$131.58
10/15/2024,$131.60,377831000,$137.87,$138.57,$128.74
10/14/2024,$138.07,232347700,$136.47,$139.60,$136.30
10/11/2024,$134.80,170209500,$134.01,$135.78,$133.66
10/10/2024,$134.81,242311300,$131.91,$135.00,$131.00
10/09/2024,$132.65,246191600,$134.11,$134.52,$131.38
10/08/2024,$132.89,285722500,$130.26,$133.48,$129.42
10/07/2024,$127.72,346250200,$124.99,$130.64,$124.95
10/04/2024,$124.92,244465600,$124.94,$125.04,$121.83
10/03/2024,$122.85,277118000,$120.92,$124.36,$120.3401
10/02/2024,$118.85,221845900,$116.44,$119.38,$115.14
10/01/2024,$117.00,302094500,$121.765,$122.4351,$115.79
09/30/2024,$121.44,227053700,$118.31,$121.50,$118.15
09/27/2024,$121.40,271009200,$123.97,$124.03,$119.26
09/26/2024,$124.04,302582900,$126.80,$127.665,$121.80
09/25/2024,$123.51,284692900,$122.02,$124.94,$121.61
09/24/2024,$120.87,354966800,$116.515,$121.80,$115.38
09/23/2024,$116.26,206228500,$116.55,$116.99,$114.86
09/20/2024,$116.00,382462400,$117.06,$118.6181,$115.3901
09/19/2024,$117.87,293506400,$117.35,$119.66,$117.25
09/18/2024,$113.37,310318900,$115.89,$117.70,$113.22
09/17/2024,$115.59,231925900,$118.17,$118.80,$114.83
09/16/2024,$116.78,248772300,$116.79,$118.18,$114.36
09/13/2024,$119.10,238358300,$119.08,$119.955,$117.60
09/12/2024,$119.14,367100500,$116.84,$120.79,$115.38
09/11/2024,$116.91,441422400,$109.39,$117.19,$107.42
